latitude,longitude,temperature,chlorophyll,species_count
-9.5,60.5,29.014841,,0.0
-9.5,61.5,29.013885,0.1015839,0.0
-9.5,62.5,29.043968,0.12541403,0.0
-9.5,63.5,29.142271,0.12551857649999998,0.0
-9.5,64.5,29.289711,0.11957519666666667,0.0
-9.5,65.5,29.422697,0.13325633333333334,0.0
-9.5,66.5,29.54178,0.14866559,0.0
-9.5,67.5,29.644909,0.1598259825,0.0
-9.5,68.5,29.725395,0.1558259,0.0
-9.5,69.5,29.706108,0.1565617125,0.0
-9.5,70.5,29.584015,0.14991288,0.0
-9.5,71.5,29.511875,0.1905001875,0.0
-9.5,72.5,29.506222,,0.0
-9.5,73.5,29.517254,,0.0
-9.5,74.5,29.536499,,0.0
-9.5,75.5,29.468723,0.15974683,0.0
-9.5,76.5,29.325846,,0.0
-9.5,77.5,29.250393,,0.0
-9.5,78.5,29.227875,,0.0
-9.5,79.5,29.18417,,0.0
-9.5,80.5,29.117527,,0.0
-8.5,60.5,29.03359,0.1372090825,0.0
-8.5,61.5,29.065626,0.136343565,0.0
-8.5,62.5,29.08044,0.1553019,0.0
-8.5,63.5,29.103504,0.13465654333333332,0.0
-8.5,64.5,29.138657,0.140277795,0.0
-8.5,65.5,29.239498,0.137286865,0.0
-8.5,66.5,29.390934,0.154260085,0.0
-8.5,67.5,29.528376,0.18059185,0.0
-8.5,68.5,29.627743,0.16672169,0.0
-8.5,69.5,29.59872,0.150699915,0.0
-8.5,70.5,29.447968,0.2008813625,0.0
-8.5,71.5,29.35558,0.2341111175,0.0
-8.5,72.5,29.351765,0.2238141475,0.0
-8.5,73.5,29.400545,0.2044409325,0.0
-8.5,74.5,29.500717,,0.0
-8.5,75.5,29.532305,,0.0
-8.5,76.5,29.487339,,0.0
-8.5,77.5,29.414131,,0.0
-8.5,78.5,29.29934,,0.0
-8.5,79.5,29.211805,,0.0
-8.5,80.5,29.15083,,0.0
-7.5,60.5,29.086826,,0.0
-7.5,61.5,29.099895,0.12914612666666667,0.0
-7.5,62.5,29.046177,,0.0
-7.5,63.5,29.0303,0.16366018,0.0
-7.5,64.5,29.073755,0.1660259975,0.0
-7.5,65.5,29.175056,0.178678805,0.0
-7.5,66.5,29.308125,0.18567913,0.0
-7.5,67.5,29.427992,0.17444428,0.0
-7.5,68.5,29.50439,0.1844654425,0.0
-7.5,69.5,29.462828,0.17636723666666665,0.0
-7.5,70.5,29.323027,0.18563757,0.0
-7.5,71.5,29.238167,0.22488278750000001,0.0
-7.5,72.5,29.228941,0.25830357000000004,0.0
-7.5,73.5,29.267147,0.234024585,0.0
-7.5,74.5,29.366463,,0.0
-7.5,75.5,29.45035,,0.0
-7.5,76.5,29.495686,,0.0
-7.5,77.5,29.45136,,0.0
-7.5,78.5,29.304686,,0.0
