date,latitude,longitude,temperature
2020-01-16 12:00:00+00:00,10.5,60.5,27.256289
2020-01-16 12:00:00+00:00,10.5,61.5,27.385849
2020-01-16 12:00:00+00:00,10.5,62.5,27.478277
2020-01-16 12:00:00+00:00,10.5,63.5,27.607458
2020-01-16 12:00:00+00:00,10.5,64.5,27.762344
2020-01-16 12:00:00+00:00,10.5,65.5,27.916613
2020-01-16 12:00:00+00:00,10.5,66.5,28.074833
2020-01-16 12:00:00+00:00,10.5,67.5,28.179947
2020-01-16 12:00:00+00:00,10.5,68.5,28.237877
2020-01-16 12:00:00+00:00,10.5,69.5,28.371588
2020-01-16 12:00:00+00:00,10.5,70.5,28.566954
2020-01-16 12:00:00+00:00,10.5,71.5,28.699408
2020-01-16 12:00:00+00:00,10.5,72.5,28.764448
2020-01-16 12:00:00+00:00,10.5,73.5,28.810871
2020-01-16 12:00:00+00:00,10.5,74.5,28.83623
2020-01-16 12:00:00+00:00,10.5,75.5,28.82198
2020-01-16 12:00:00+00:00,10.5,79.5,27.8932
2020-01-16 12:00:00+00:00,10.5,80.5,27.774895
2020-01-16 12:00:00+00:00,9.5,60.5,27.516685
2020-01-16 12:00:00+00:00,9.5,61.5,27.641397
2020-01-16 12:00:00+00:00,9.5,62.5,27.75987
2020-01-16 12:00:00+00:00,9.5,63.5,27.877071
2020-01-16 12:00:00+00:00,9.5,64.5,27.987583
2020-01-16 12:00:00+00:00,9.5,65.5,28.128717
2020-01-16 12:00:00+00:00,9.5,66.5,28.29321
2020-01-16 12:00:00+00:00,9.5,67.5,28.403585
2020-01-16 12:00:00+00:00,9.5,68.5,28.466671
2020-01-16 12:00:00+00:00,9.5,69.5,28.575336
2020-01-16 12:00:00+00:00,9.5,70.5,28.716991
2020-01-16 12:00:00+00:00,9.5,71.5,28.799295
2020-01-16 12:00:00+00:00,9.5,72.5,28.828686
2020-01-16 12:00:00+00:00,9.5,73.5,28.840755
2020-01-16 12:00:00+00:00,9.5,74.5,28.823195
2020-01-16 12:00:00+00:00,9.5,75.5,28.76587
2020-01-16 12:00:00+00:00,9.5,76.5,28.665941
2020-01-16 12:00:00+00:00,9.5,79.5,27.98303
2020-01-16 12:00:00+00:00,9.5,80.5,27.893446
2020-01-16 12:00:00+00:00,8.5,60.5,27.812664
2020-01-16 12:00:00+00:00,8.5,61.5,27.929895
2020-01-16 12:00:00+00:00,8.5,62.5,28.059902
2020-01-16 12:00:00+00:00,8.5,63.5,28.150253
2020-01-16 12:00:00+00:00,8.5,64.5,28.20058
2020-01-16 12:00:00+00:00,8.5,65.5,28.345423
2020-01-16 12:00:00+00:00,8.5,66.5,28.565723
2020-01-16 12:00:00+00:00,8.5,67.5,28.699743
2020-01-16 12:00:00+00:00,8.5,68.5,28.750423
2020-01-16 12:00:00+00:00,8.5,69.5,28.797976
2020-01-16 12:00:00+00:00,8.5,70.5,28.83786
2020-01-16 12:00:00+00:00,8.5,71.5,28.853449
2020-01-16 12:00:00+00:00,8.5,72.5,28.855915
2020-01-16 12:00:00+00:00,8.5,73.5,28.819168
2020-01-16 12:00:00+00:00,8.5,74.5,28.728195
2020-01-16 12:00:00+00:00,8.5,75.5,28.645119
2020-01-16 12:00:00+00:00,8.5,76.5,28.602764
2020-01-16 12:00:00+00:00,8.5,78.5,28.219196
2020-01-16 12:00:00+00:00,8.5,79.5,28.139542
2020-01-16 12:00:00+00:00,7.5,60.5,28.0786
2020-01-16 12:00:00+00:00,7.5,61.5,28.187387
2020-01-16 12:00:00+00:00,7.5,62.5,28.302254
2020-01-16 12:00:00+00:00,7.5,63.5,28.390831
2020-01-16 12:00:00+00:00,7.5,64.5,28.458857
2020-01-16 12:00:00+00:00,7.5,65.5,28.61133
2020-01-16 12:00:00+00:00,7.5,66.5,28.819939
2020-01-16 12:00:00+00:00,7.5,67.5,28.94004
2020-01-16 12:00:00+00:00,7.5,68.5,28.966892
2020-01-16 12:00:00+00:00,7.5,69.5,28.95803
2020-01-16 12:00:00+00:00,7.5,70.5,28.921583
2020-01-16 12:00:00+00:00,7.5,71.5,28.875671
2020-01-16 12:00:00+00:00,7.5,72.5,28.830833
2020-01-16 12:00:00+00:00,7.5,73.5,28.765121
2020-01-16 12:00:00+00:00,7.5,74.5,28.662382
2020-01-16 12:00:00+00:00,7.5,75.5,28.58209
2020-01-16 12:00:00+00:00,7.5,76.5,28.53004
2020-01-16 12:00:00+00:00,7.5,77.5,28.417612
2020-01-16 12:00:00+00:00,7.5,78.5,28.266956
2020-01-16 12:00:00+00:00,7.5,79.5,28.242298
2020-01-16 12:00:00+00:00,6.5,60.5,28.285791
2020-01-16 12:00:00+00:00,6.5,61.5,28.3987
2020-01-16 12:00:00+00:00,6.5,62.5,28.482458
2020-01-16 12:00:00+00:00,6.5,63.5,28.594812
2020-01-16 12:00:00+00:00,6.5,64.5,28.750988
2020-01-16 12:00:00+00:00,6.5,65.5,28.90302
2020-01-16 12:00:00+00:00,6.5,66.5,29.019615
2020-01-16 12:00:00+00:00,6.5,67.5,29.085327
2020-01-16 12:00:00+00:00,6.5,68.5,29.088871
2020-01-16 12:00:00+00:00,6.5,69.5,29.041817
2020-01-16 12:00:00+00:00,6.5,70.5,28.960741
2020-01-16 12:00:00+00:00,6.5,71.5,28.867762
2020-01-16 12:00:00+00:00,6.5,72.5,28.772337
2020-01-16 12:00:00+00:00,6.5,73.5,28.713472
2020-01-16 12:00:00+00:00,6.5,74.5,28.671635
2020-01-16 12:00:00+00:00,6.5,75.5,28.619331
2020-01-16 12:00:00+00:00,6.5,76.5,28.571415
2020-01-16 12:00:00+00:00,6.5,77.5,28.48244
2020-01-16 12:00:00+00:00,6.5,78.5,28.379147
2020-01-16 12:00:00+00:00,6.5,79.5,28.355057
2020-01-16 12:00:00+00:00,5.5,60.5,28.428244
2020-01-16 12:00:00+00:00,5.5,61.5,28.561653
2020-01-16 12:00:00+00:00,5.5,62.5,28.644463
2020-01-16 12:00:00+00:00,5.5,63.5,28.754307
2020-01-16 12:00:00+00:00,5.5,64.5,28.916527
2020-01-16 12:00:00+00:00,5.5,65.5,29.04861
2020-01-16 12:00:00+00:00,5.5,66.5,29.123968
2020-01-16 12:00:00+00:00,5.5,67.5,29.167084
2020-01-16 12:00:00+00:00,5.5,68.5,29.168442
2020-01-16 12:00:00+00:00,5.5,69.5,29.107393
2020-01-16 12:00:00+00:00,5.5,70.5,28.996073
2020-01-16 12:00:00+00:00,5.5,71.5,28.894897
2020-01-16 12:00:00+00:00,5.5,72.5,28.812557
2020-01-16 12:00:00+00:00,5.5,73.5,28.77124
2020-01-16 12:00:00+00:00,5.5,74.5,28.754074
2020-01-16 12:00:00+00:00,5.5,75.5,28.705536
