latitude,longitude,date,species_count
-31.82,18.23,1985-05-17 12:00:00+00:00,1
-33.02,17.95,1987-08-28 12:00:00+00:00,1
-34.36,18.5,1990-11-01 12:00:00+00:00,1
-29.93,17.12,1985-12-13 12:00:00+00:00,1
-34.36,18.5,1998-11-03 12:00:00+00:00,1
36.16,-74.48,1994-12-19 00:00:00+00:00,1
-34.36,18.5,2001-05-07 12:00:00+00:00,1
26.88,-88.5,1998-07-03 00:00:00+00:00,1
-29.93,17.12,1985-12-10 12:00:00+00:00,1
37.06,-74.62,2003-11-03 00:00:00+00:00,1
-34.15,18.32,1990-08-09 12:00:00+00:00,1
-34.36,18.5,2003-06-11 12:00:00+00:00,1
-32.82,17.83,1992-05-28 12:00:00+00:00,1
27.22,-92.12,1999-07-14 00:00:00+00:00,1
-34.36,18.5,1990-11-30 12:00:00+00:00,1
-29.25,16.87,1985-02-02 12:00:00+00:00,1
-29.25,16.87,1986-03-11 12:00:00+00:00,1
-34.05,18.35,2000-12-05 12:00:00+00:00,1
-33.43,18.09,2001-04-26 12:00:00+00:00,1
27.51,-89.33,1995-09-04 00:00:00+00:00,1
-34.36,18.5,2005-11-25 12:00:00+00:00,1
39.84,-70.29,2002-10-24 00:00:00+00:00,1
-33.02,17.95,1998-05-01 12:00:00+00:00,1
-30.81,30.41,1998-05-10 12:00:00+00:00,1
38.03,-73.83,2002-07-23 00:00:00+00:00,1
27.83,-89.02,2005-02-21 00:00:00+00:00,1
-34.36,18.5,1995-12-15 12:00:00+00:00,1
28.39,-77.61,2002-02-27 00:00:00+00:00,1
